sentence	obj-1	obj-2	aspect	t5_fewshot
How can you tell the difference between literal and symbolic dreams ?	literal dreams	symbolic dreams	-	' Objects: 'literal and symbolic dreams', 'dreams' Aspect: dreams What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams
should i get the Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter or ThinkPad 11a / b / g Wireless LAN Mini ?	Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter	ThinkPad 11a / b / g Wireless LAN Mini	-	/ b / g Wireless LAN Mini Adapter for Lenovo ThinkPad 11a / b / g / g / g / g Objects: '
who is better manny or ortiz ?	manny	ortiz	better	as Objects:'manny', 'ortiz' Aspect: better Objects:'manny', 'ortiz' Aspect: betterObjects
Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?	Democrats	Republicans	likes	sometimes more than ) as purchasing aObjects: 'Democrats', 'Republicans' Aspect: likes What are the objects and the aspect of comparison in the sentence 'Do you think 
What is the difference between Judaism and Christianity ?	Judaism	Christianity	difference	' Objects: 'Judaism', 'Christianity' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Juda
Are Parachial schools better than public schools ?	Parachial schools	public schools	better	' Objects: 'public schools', 'Parachial' Aspect: better Objects: 'public schools', 'Parachial' Aspect: better 
is the naruto manga more ahead in the series than the naruto shows ?	naruto manga	naruto shows	ahead	' Objects: 'naruto manga', 'naruto shows' Aspect: ahead in the series What are the objects and the aspect of comparison in the sentence 'is the 
What are the benefits of using a DXF file versus a DWG file ?	DXF file	DWG file	benefits	'hard disc copy' Aspect: Objects: 'DXF', 'DWG' Aspect: benefits Objects: 'DXF', 'Objects:
Would you rather love or be loved ?	love	be loved	-	as Objects: 'love', 'be loved' Aspect: love What are the objects and the aspect of comparison in the sentence 'Would you rather be loved or be hated?
Do you like B5 or N-toon the most ?	B5	N-toon	like	as Objects: 'B5', 'N-toon' Aspect: B5 What are the objects and the aspect of comparison in the sentence 'Do you think B5 is better?'
Whose book is better Kimora Lee Simmons or Ashanti 's ?	book Kimora Lee Simmons	book Ashanti 's	-	'Objects: 'Kimora Lee Simmons', 'Ashanti' Aspect: better Objects: 'Kimora Lee Simmons', 'Ashanti
What taste better chocolate or caramel ?	chocolate	caramel	taste	as Objects: 'chocolate', 'caramel' Aspect: chocolate What are the objects and the aspect of comparison in the sentence 'Does chocolate taste better than caramel?'
what is the difference between Modular homes & manufactured homes ?	Modular homes	manufactured homes	-	' Objects: 'Modular homes','manufactured homes' Aspect: manufactured What are the objects and the aspect of comparison in the sentence 'What is the difference between modular homes
Who do you think are better lovers , man or woman ?	man	woman	better lovers	' Objects:'man', 'woman' Aspect: man vs woman What are the objects and the aspect of comparison in the sentence 'Who do you think are better lovers?'
should i keep the booty or lose it by working out ?	keep	lose	-	a Objects: 'workout', 'workout' Aspect: lose it by working out What are the objects and the aspect of comparison in the sentence'should i keep the booty or
what is best yahoo messenger or msn ?	yahoo messenger	msn	best	' Objects: 'yahoo messenger','msn' Aspect: best Objects: 'yahoo messenger','msn' Aspect: best yahoo messenger What
What is the difference between MP3 players and IPods ? Which is better ?	MP3 players	IPods	better	'buying aObjects: 'MP3 players', 'IPods' Aspect: better Which is betterObjects:'mp3 players', 'iPods' A
Who do you think has better products , Avon or Mary Kay ?	Avon	Mary Kay	-	' Objects: 'Avon', 'Mary Kay' Aspect: better What are the objects and the aspect of comparison in the sentence 'Who do you think has better products, Avon
is it more important for women or men to have hair on top ?	women	men	-	' Objects: 'hair on top', 'hair' Aspect: hair on top What are the objects and the aspect of comparison in the sentence 'Is it more important for women or men to
How can you make the work output of a machine GREATER than the work INPUT ?	work output	work INPUT	-	' Objects: 'work output', 'work input' Aspect: GREATER What are the objects and the aspect of comparison in the sentence 'How can you make the work output of a machine
do you get more wet walking or running in the rain ?	walking rain	running rain	wet	a Objects: 'wet walking', 'running' Aspect: wet walking What are the objects and the aspect of comparison in the sentence 'do you get more wet walking or running
