sentence	obj-1	obj-2	aspect	flant5xl_fewshot
How can you tell the difference between literal and symbolic dreams ?	literal dreams	symbolic dreams	-	Objects: literal, symbolic Aspect: difference
should i get the Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter or ThinkPad 11a / b / g Wireless LAN Mini ?	Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter	ThinkPad 11a / b / g Wireless LAN Mini	-	Objects: 'Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter', 'ThinkPad 11a / b / g Wireless LAN Mini' Aspect: get
who is better manny or ortiz ?	manny	ortiz	better	manny, ortiz Aspect: better
Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?	Democrats	Republicans	likes	Objects: 'Democrats', 'Republicans' Aspect: likes
What is the difference between Judaism and Christianity ?	Judaism	Christianity	difference	Objects: Judaism, Christianity Aspect: difference
Are Parachial schools better than public schools ?	Parachial schools	public schools	better	Objects: public schools, Parachial schools Aspect: better
is the naruto manga more ahead in the series than the naruto shows ?	naruto manga	naruto shows	ahead	naruto manga, naruto shows Aspect: ahead
What are the benefits of using a DXF file versus a DWG file ?	DXF file	DWG file	benefits	a DWG file, DXF file Aspect: benefits
Would you rather love or be loved ?	love	be loved	-	Objects: 'love', 'be loved' Aspect: love
Do you like B5 or N-toon the most ?	B5	N-toon	like	Objects: 'B5', 'N-toon' Aspect: likes
Whose book is better Kimora Lee Simmons or Ashanti 's ?	book Kimora Lee Simmons	book Ashanti 's	-	Objects: book, Kimora Lee Simmons, Ashanti Aspect: better
What taste better chocolate or caramel ?	chocolate	caramel	taste	Objects: chocolate, caramel Aspect: taste
what is the difference between Modular homes & manufactured homes ?	Modular homes	manufactured homes	-	Objects: 'Modular homes','manufactured homes' Aspect: difference
Who do you think are better lovers , man or woman ?	man	woman	better lovers	Objects:'man', 'woman' Aspect: lovers
should i keep the booty or lose it by working out ?	keep	lose	-	Objects: booty, lose it Aspect: keep
what is best yahoo messenger or msn ?	yahoo messenger	msn	best	yahoo messenger, msn Aspect: best
What is the difference between MP3 players and IPods ? Which is better ?	MP3 players	IPods	better	Objects: mp3 player, ipod Aspect: better
Who do you think has better products , Avon or Mary Kay ?	Avon	Mary Kay	-	Objects: 'Avon', 'Mary Kay' Aspect: products
is it more important for women or men to have hair on top ?	women	men	-	Objects: hair, top Aspect: important
How can you make the work output of a machine GREATER than the work INPUT ?	work output	work INPUT	-	Objects: output, input Aspect: output, input
do you get more wet walking or running in the rain ?	walking rain	running rain	wet	Objects: walking, running Aspect: wet
Who agrees that working hard and making money is somehow better than working less and be happier ?	working hard and making money	working less and be happier	better	Objects: working hard, making money, working less, happier
how do you do an irish whip in Smackdown Vs . Raw 2007 ?	Smackdown	Raw 2007	irish whip	smackdown vs. raw 2007, irish whip
What are gear ratios ? What is the use of roof scoops ? What is the difference between torque and horsepower ?	torque	horsepower	-	Objects: gear ratios, roof scoops, difference between torque and horsepower
what is the difference between between PowerBook n iBook ?	PowerBook	iBook	-	iBook, PowerBook Aspect: difference
What is the difference between the fish circulatory system and the mammal circulatory system ?	fish circulatory system	mammal circulatory system	-	Objects: circulatory system, mammal Aspect: circulatory system
What is the difference between stucco and masonry ?	stucco	masonry	-	masonry, stucco Aspect: difference
Does anyone think that the imigration thing for the hispanics be compared to the armenian genocide ? ? ?	imigration thing for the hispanics	armenian genocide	-	Objects: armenian genocide, imigration thing for the hispanics Aspect: compare
what is bigger size bitmap or jpeg ?	bitmap	jpeg	size	jpeg, bitmap Aspect: size
what is the difference between sickle cell anemia and thalassemia ?	sickle cell anemia	thalassemia	-	thalassemia, sickle cell anemia Aspect: difference
Does ortho tri cyclen lo lower sex drive compared to no pill at all ?	ortho tri cyclen	no pill at all	sex drive	sex drive, pill Aspect: sex drive
who can enter carling cup ? which is superior FA Cup or Carling Cup ?	FA Cup	Carling Cup	superior	Objects: 'FA Cup', 'Carling Cup' Aspect: superior
what ' s the difference between intel pentium 4 and intel xeon ? which one is better ?	intel pentium 4	intel xeon	better	Objects: 'intel pentium 4', 'intel xeon' Aspect: better
Who is better and more handsome ? Lampard or Cristiano Ronaldo ?	Lampard	Cristiano Ronaldo	better more handsome	Objects: 'Lampard', 'Cristiano Ronaldo' Aspect: handsome
who looks best 50cent or lloyd banks ?	50cent	lloyd banks	looks best	lloyd banks, 50cent Aspect: looks
What is the difference between a blackout and a brownout ?	blackout	brownout	-	a blackout, a brownout Aspect: difference
What is the difference between a wink and a blink ?	wink	blink	-	a wink, a blink Aspect: difference
do you prefer fried eggs or scramble ? ? ? ? ?	fried eggs	scramble	prefer	fried eggs, scramble Aspect: prefer
What is the difference between an Isolated Thunderstorm and a Scattered Thunderstorm ?	Isolated Thunderstorm	Scattered Thunderstorm	-	Objects: isolated thunderstorm, scattered thunderstorm Aspect: difference
who has more booty beyonce or j-lo ?	beyonce	j-lo	booty	Objects: booty, beyonce, j-lo Aspect: booty
who lead in 2010,India or china ?	2010,India	china	lead	Objects: 'India', 'China' Aspect: lead
Does anyone have broadband cable ? Is it better than digital cable ? I want to change but I'm scared . ?	broadband cable	digital cable	better	Objects: broadband cable, digital cable Aspect: better
What will 7 mm magnum do to deer versus a 30 - 30 , both at same distance of 50 yards ?	7 mm magnum	30 - 30	do	Objects: '7 mm magnum', '30 - 30' Aspect: distance
Who do you think is better looking , Pumba or Rafiki ? ?	Pumba	Rafiki	better looking	Objects: 'Pumba', 'Rafiki' Aspect: better looking
what came first naruto or bleach ? i saw 1 ep of bleach and its almost the same bleach < ---skcus<--- anyways yapoo answers-stop deleting my Qs lol	naruto	bleach	first	naruto, bleach Aspect: came
Do u think men are more dominating when compared to women ?	men	women	dominating	Objects: men, women Aspect: compare
Why is the little spanish spoke in the Philippines similar to the spanish spoken in Mexico ?	spanish Philippines	spanish Mexico	similar	Objects: 'little spanish spoke in the Philippines', 'Spanish spoken in Mexico' Aspect: similar
How come it 's harder to open bottles / jars with my right hand than my left hand ?	jars right hand	jars left hand	open bottles	Objects: bottles / jars, hand Aspect: hand
do scientists look for life on planets only similar to our own ? Couldn't there be life not based on carbon ?	planets	life not based on carbon	-	Objects: 'life', 'planets' Aspect: similar
How does a revolving door conserve more energy than a regular door ?	revolving door	regular door	energy	revolving door, regular door Aspect: conserve
"What is the difference between "" unmarked "" bills and "" marked "" bills ?"	""" unmarked "" bills"	"marked "" bills"	-	Objects: bills, difference
Why do Microwave minutes last longer than normal minutes ?	Microwave minutes	normal minutes	last longer	Objects: minutes, Microwave Aspect: longer
Why do women live longer than men on average ?	women	men	longer	Objects: 'live longer','men' Aspect: live
