sentence	obj-1	obj-2	aspect	neogpt_fewshot
How can you tell the difference between literal and symbolic dreams ?	literal dreams	symbolic dreams	-	"What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'
Objects: 'family med graduate','medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'?
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'What are the objects and the aspect of comparison in the sentence 'Is a family med graduate as efficient as a medicine one?'
Objects: 'family med"
should i get the Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter or ThinkPad 11a / b / g Wireless LAN Mini ?	Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter	ThinkPad 11a / b / g Wireless LAN Mini	-	"What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'
Objects: 'family med graduate','medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence'should i get the Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter or ThinkPad 11a / b / g Wireless LAN Mini?'?
Objects: 'Intel'
Aspect: Mini

A:

TL;DR / Concluding thoughts: 

What are the objects and the aspect of comparison in the sentence ""How can you tell the difference between"
who is better manny or ortiz ?	manny	ortiz	better	"What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'
Objects: 'family med graduate','medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'who is better manny or ortiz?'?

Objects:'manny', 'ortiz'
Aspect: manny better

A:

I think the OP might have misunderstood one of the questions (I don't know what it is). 
However, the following questions appear to be somewhat relevant to the original one (which is in the form of an"
Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?	Democrats	Republicans	likes	"What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'
Objects: 'family med graduate','medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'?
Objects: 'Democrats', 'Republicans'
Aspect: likes more Democrats

A:

In your third example,
What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats"
What is the difference between Judaism and Christianity ?	Judaism	Christianity	difference	"What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'
Objects: 'family med graduate','medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'What is the difference between Judaism and Christianity?'?
Objects: 'Judaism', 'Christianity'
Aspect: different

Is it possible to have a similar problem in ""Who is your favorite TV show?"". Are the ""aspect"" objects for ""TV show"" and for ""favorite"" similar, or the ones for ""aspect of comparison"" and for ""TV show"
Are Parachial schools better than public schools ?	Parachial schools	public schools	better	"What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'
Objects: 'family med graduate','medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'Are Parachial schools better than public schools?'?
Objects: 'Parachial', 'public'
Aspect: better

What are the objects and the aspect of comparison in the sentence 'Would you rather have your children spend a short time with each other or spend the whole day out?'
Objects: 'children', 'with each other'
Aspect: spend"
is the naruto manga more ahead in the series than the naruto shows ?	naruto manga	naruto shows	ahead	"What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'
Objects: 'family med graduate','medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'is the naruto manga more ahead in the series than the naruto shows?'?
Objects: 'naruto manga', 'naruto shows'
Aspect: ahead

What are the objects and the aspect of comparison in the sentence 'How many people do you think have dreamed of seeing the moon?'
Objects: 'dreamed'
Aspect: saw Ll

"
What are the benefits of using a DXF file versus a DWG file ?	DXF file	DWG file	benefits	"What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'
Objects: 'family med graduate','medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'What are the benefits of using a DXF file versus a DWG file?'?
Objects: 'DWG', 'DXF'
Aspect: DWG

So what are the objects and the aspect of comparison in the sentence 'Is the difference between literal and symbolic dreams significant?'

A:

I'm pretty sure the translation of the phrase literal and symbolic is"
Would you rather love or be loved ?	love	be loved	-	"What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'
Objects: 'family med graduate','medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'Would you rather love or be loved?'?
Objects: 'love'
Aspect: is loved by

What are the objects and the aspects of comparison in the sentence 'And that makes you wonder why it is that so many people love animals?'
Objects: 'animals', 'love'
Aspect: why?

A:

There are no objects"
Do you like B5 or N-toon the most ?	B5	N-toon	like	"What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'
Objects: 'literal dreams','symbolic dreams'
Aspect: 

What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'
Objects: 'family med graduate','medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more? Democrats or Republicans? Why do you think?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'Do you like B5 or N-toon the most?'?
Objects: 'B5', 'n-toon'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'Do you agree with the argument that gay marriage is good for America?'
Objects: 'gay marriage', 'good for America'
Aspect: good"
