sentence	obj-1	obj-2	aspect	t5_few
How can you tell the difference between literal and symbolic dreams ?	literal dreams	symbolic dreams	-	' Objects: 'literal dreams','symbolic dreams' Aspect: symbolic dreams What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'? '?'? '?'? '?'? '?'? '?'? '?'? '?'? '?'? '
should i get the Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter or ThinkPad 11a / b / g Wireless LAN Mini ?	Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter	ThinkPad 11a / b / g Wireless LAN Mini	-	/ b / g Wireless LAN Mini?' Aspect:'Aspect: 'which one'' Aspect: 'which one' What are the objects and the aspect of comparison in the sentence 'What is the best computer for me?' Objects: 'PCI Express', 'PCI''''? A '''
who is better manny or ortiz ?	manny	ortiz	better	'brains female', 'brains Objects:'manny', 'ortiz' Aspect: better  Objects:'manny', 'ortiz' Aspect: better Objects:'manny', 'ortiz' Aspect: better' and the aspect of??  
Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?	Democrats	Republicans	likes	' Objects: 'Democrats', 'Republicans' Aspect: likes What are the objects and the aspect of comparison in the sentence 'Who do you think the Secret Service likes more?'? Aspect: likes 'Democrats', 'Republicans'? Aspect: likes 'Democrats', 'Republicans' Aspect: likes 'Democrats',
What is the difference between Judaism and Christianity ?	Judaism	Christianity	difference	'brains female', 'brains Objects: 'Judaism', 'Christianity' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Islam and Christianity?'? Objects: 'Judaism', 'Christianity' Aspect: difference
Are Parachial schools better than public schools ?	Parachial schools	public schools	better	'brains female', 'brains Objects: 'Parachial schools', 'public schools' Aspect: better compared to public schools What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects: 'Parachial schools', 'public schools' Aspect: better than public schools What are the objects and the aspect of comparison
is the naruto manga more ahead in the series than the naruto shows ?	naruto manga	naruto shows	ahead	'brains female', 'brains Objects: 'naruto manga', 'naruto shows' Aspect: ahead What are the objects and the aspect of comparison in the sentence 'Why do you have speed limits?' Objects: 'is the naruto manga more ahead in the series than the naruto shows?'?
What are the benefits of using a DXF file versus a DWG file ?	DXF file	DWG file	benefits	' Objects: 'DXF', 'DWG' Aspect: benefits What are the objects and the aspect of comparison in the sentence 'What are the benefits of using a DXF file versus a DWG file?'? Aspect: benefits What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?'
Would you rather love or be loved ?	love	be loved	-	' Objects: 'love', 'be loved' Aspect: love What are the objects and the aspect of comparison in the sentence 'Would you rather be loved or be hated?'? Objects: 'love', 'be hated' Aspect: love Aspect: hate Aspect: hates What are objects   ''  than 
Do you like B5 or N-toon the most ?	B5	N-toon	like	'brains female', 'brains Objects: 'B5', 'N-toon' Aspect: B5 What are the objects and the aspect of comparison in the sentence 'Do you think B5 is better?', 'B5' Aspect: B5 Which are the objects and the aspect of comparison in the sentence
Whose book is better Kimora Lee Simmons or Ashanti 's ?	book Kimora Lee Simmons	book Ashanti 's	-	'brains female', 'brains Objects: 'Kimora Lee Simmons', 'Ashanti' Aspect: better Objects: 'Kimora Lee Simmons', 'Ashanti' Aspect: betterObjects: 'Kimora Lee Simmons', 'Ashanti' Aspect: better's',Objects
What taste better chocolate or caramel ?	chocolate	caramel	taste	', 'brains female' Aspect: different from Objects: 'chocolate', 'caramel' Aspect: chocolate Objects: 'chocolate', 'caramel' Aspect: chocolate Objects: 'chocolate', 'caramel' Aspect:' and the aspect of????
what is the difference between Modular homes & manufactured homes ?	Modular homes	manufactured homes	-	' Objects: 'Modular homes','manufactured homes' Aspect: manufactured homes What are the objects and the aspect of comparison in the sentence 'What is the difference between modular homes & manufactured homes?'? Aspect: manufactured homes What are the objects and the aspect of comparison in the sentence 'What is the difference between modular homes & manufactured homes?'?
Who do you think are better lovers , man or woman ?	man	woman	better lovers	', 'brains female' Aspect: different from Objects:'man', 'woman' Aspect: man vs woman?', 'woman' Aspect: man vs woman Aspect: man vs woman Aspect: man vs woman Aspect: man vs woman Aspect:
should i keep the booty or lose it by working out ?	keep	lose	-	'brains female', 'brains Objects: 'booty', 'lost it' Aspect: booty What are the objects and the aspect of comparison in the sentence'should i keep the booty or lose it by working out?' Objects: 'workout', 'workout' Aspect: booty What are the objects and the aspect of comparison in the sentence 
what is best yahoo messenger or msn ?	yahoo messenger	msn	best	'brains female', 'brains Objects: 'yahoo messenger','msn' Aspect: best What are the objects and the aspect of comparison in the sentence 'What is better yahoo messenger or msn?'?' Objects: 'yahoo messenger','msn' Aspect: best yahoo messenger
What is the difference between MP3 players and IPods ? Which is better ?	MP3 players	IPods	better	' Objects: 'MP3 players', 'IPods' Aspect: better Which is better Objects: 'MP3 players', 'IPods' Aspect: better Aspect: better What are the objects and the aspect of comparison in the sentence 'What is the difference between a'?'?'? '' speed
Who do you think has better products , Avon or Mary Kay ?	Avon	Mary Kay	-	'brains female', 'brains Objects: 'Avon', 'Mary Kay' Aspect: better products : Objects: 'Avon', 'Mary Kay' Aspect: Avon Objects: 'Avon', 'Mary Kay' Aspect:' and and and? ?'
is it more important for women or men to have hair on top ?	women	men	-	brains female', 'brains Objects: 'hair on top', 'hair on the bottom' Aspect: hair on top What are the objects and the aspect of comparison in the sentence 'Is it more important for women or men to have hair on top?', 'Why?', 'Why?', 'Why?', 'Why?', '
