sentence	obj-1	obj-2	aspect	gpt2_fewshot
How can you tell the difference between literal and symbolic dreams ?	literal dreams	symbolic dreams	-	"What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one ?'
Objects: 'family med graduate', 'medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?'
Objects: 'digital copies', 'hard disc copy'
Aspect: cost

What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams ?'?
Objects: 'literal dream', 'literal dream'

Aspect: symbolic dream

What are the objects and the aspect of comparison in the sentence 'What is the difference between the two words 'I am a man and I am a woman?"
should i get the Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter or ThinkPad 11a / b / g Wireless LAN Mini ?	Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter	ThinkPad 11a / b / g Wireless LAN Mini	-	"What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one ?'
Objects: 'family med graduate', 'medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?'
Objects: 'digital copies', 'hard disc copy'
Aspect: cost

What are the objects and the aspect of comparison in the sentence 'should i get the Intel PRO / Wireless 3945ABG Mini-PCI Express Adapter or ThinkPad 11a / b / g Wireless LAN Mini ?'?
Objects: 'Intel PRO', 'ThinkPad 11a', 'b', 'g', 'g', 'g', 'g', 'g', 'g', '"
who is better manny or ortiz ?	manny	ortiz	better	"What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one ?'
Objects: 'family med graduate', 'medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?'
Objects: 'digital copies', 'hard disc copy'
Aspect: cost

What are the objects and the aspect of comparison in the sentence 'who is better manny or ortiz ?'?
Objects:'manny', 'tiziz'

Aspect: better manny

What are the objects and the aspect of comparison in the sentence 'who is better manny or ortiz?'
Objects:'manny', 't"
Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?	Democrats	Republicans	likes	"What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one ?'
Objects: 'family med graduate', 'medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?'
Objects: 'digital copies', 'hard disc copy'
Aspect: cost

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'?
Objects: 'Democrats', 'Republicans'

Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do you think?'

Objects: 'Democrats"
What is the difference between Judaism and Christianity ?	Judaism	Christianity	difference	"What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one ?'
Objects: 'family med graduate', 'medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?'
Objects: 'digital copies', 'hard disc copy'
Aspect: cost

What are the objects and the aspect of comparison in the sentence 'What is the difference between Judaism and Christianity ?'?
Objects: 'Christianity', 'Jewish'

Aspect: 'Christianity', 'Jewish'

What are the objects and the aspect of comparison in the sentence 'What is the difference between the Bible and the Bible?'
Objects: 'the Bible',"
Are Parachial schools better than public schools ?	Parachial schools	public schools	better	"What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one ?'
Objects: 'family med graduate', 'medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?'
Objects: 'digital copies', 'hard disc copy'
Aspect: cost

What are the objects and the aspect of comparison in the sentence 'Are Parachial schools better than public schools ?'?
Objects: 'parachial schools', 'public schools'

Aspect: better

What are the objects and the aspect of comparison in the sentence 'What is the difference between a good and a bad school?'
Objects: 'good', 'bad"
is the naruto manga more ahead in the series than the naruto shows ?	naruto manga	naruto shows	ahead	"What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one ?'
Objects: 'family med graduate', 'medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?'
Objects: 'digital copies', 'hard disc copy'
Aspect: cost

What are the objects and the aspect of comparison in the sentence 'is the naruto manga more ahead in the series than the naruto shows ?'?
Objects: 'Naruto manga', 'Naruto shows'

Aspect: ahead

What are the objects and the aspect of comparison in the sentence 'is the manga more ahead in the series than the manga shows?'?

"
What are the benefits of using a DXF file versus a DWG file ?	DXF file	DWG file	benefits	"What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one ?'
Objects: 'family med graduate', 'medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?'
Objects: 'digital copies', 'hard disc copy'
Aspect: cost

What are the objects and the aspect of comparison in the sentence 'What are the benefits of using a DXF file versus a DWG file ?'?
Objects: 'DwG file', 'DWG file'

Aspect: benefits

What are the objects and the aspect of comparison in the sentence 'What are the benefits of using a DXF file versus a DWG file"
Would you rather love or be loved ?	love	be loved	-	"What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one ?'
Objects: 'family med graduate', 'medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?'
Objects: 'digital copies', 'hard disc copy'
Aspect: cost

What are the objects and the aspect of comparison in the sentence 'Would you rather love or be loved ?'?
Objects: 'love', 'love'

Aspect: love

What are the objects and the aspect of comparison in the sentence 'Would you rather have a dog or a cat?'
Objects: 'dog', 'cat'

Aspect: cat
"
Do you like B5 or N-toon the most ?	B5	N-toon	like	"What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one ?'
Objects: 'family med graduate', 'medicine'
Aspect: efficient

What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?'
Objects: 'in your house', 'on the street'
Aspect: kids drunk

What are the objects and the aspect of comparison in the sentence 'Who do you think the U.S. Secret Service likes more ? Democrats or Republicans ? Why do you think ?'
Objects: 'Democrats', 'Republicans'
Aspect: likes

What are the objects and the aspect of comparison in the sentence 'why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?'
Objects: 'digital copies', 'hard disc copy'
Aspect: cost

What are the objects and the aspect of comparison in the sentence 'Do you like B5 or N-toon the most ?'?
Objects: 'B5', 'N-toon'

Aspect: B5, 'N-toon'

What are the objects and the aspect of comparison in the sentence 'Do you like the best food in the world?'"
